"subtopics","paper","conf","year","status","topic"
"2","121664","8","2014","1","1"
"2","62538","1","2010","1","1"
"2","121048","8","2014","1","1"
"2","1570280503","13","2016","1","1"
"2","150137","12","2016","1","1"
"2","94098","5","2012","1","1"
"2","121682","8","2014","1","1"
"2","121775","8","2014","2","1"
"2","108131","6","2012","1","1"
"2","93367","5","2012","1","1"
"2","150117","12","2016","1","1"
"2","74048","2","2010","2","1"
"2","108370","6","2012","1","1"
"2","93330","5","2012","1","1"
"2","62544","1","2010","2","1"
"2","99350","6","2012","1","1"
"2","149844","12","2016","1","1"
"2","163847","14","2017","2","1"
"2","84377","4","2011","2","1"
"2","149854","12","2016","2","1"
"2","107178","7","2013","1","1"
"2","150068","12","2016","1","1"
"2","150121","12","2016","1","1"
"2","148795","12","2016","1","1"
"2","163850","14","2017","2","1"
"2","1570282235","13","2016","2","1"
"2","73734","2","2010","1","1"
"2","1570282141","13","2016","1","1"
"2","135326","9","2015","2","1"
"2","137433","9","2015","1","1"
"2","62370","1","2010","1","1"
"2","93573","5","2012","1","1"
"2","163809","14","2017","1","1"
"2","150510","12","2016","1","1"
"2","134694","9","2015","1","1"
"2","94059","5","2012","1","1"
"2","150005","12","2016","1","1"
"2","108347","7","2013","2","1"
"2","70722","2","2010","2","1"
"2","78188","3","2011","1","1"
"2","85590","4","2011","2","1"
"2","118725","8","2014","1","1"
"2","62508","1","2010","1","1"
"2","108888","7","2013","2","1"
"2","121595","8","2014","1","1"
"2","134509","9","2015","2","1"
"2","78085","3","2011","1","1"
"2","84191","4","2011","2","1"
"2","70702","2","2010","1","1"
"2","93954","5","2012","1","1"
"2","121844","8","2014","2","1"
"2","1570165157","10","2015","2","1"
"2","120536","8","2014","1","1"
"2","108375","7","2013","2","1"
"2","137400","9","2015","2","1"
"2","62356","1","2010","2","1"
"2","163961","14","2017","1","1"
"2","94066","5","2012","2","1"
"2","150087","12","2016","1","1"
"2","163965","14","2017","1","1"
"2","94019","5","2012","2","1"
"2","99369","6","2012","1","1"
"2","73626","2","2010","2","1"
"2","137382","9","2015","1","1"
"2","98319","6","2012","1","1"
"2","137284","9","2015","1","1"
"2","1570163993","10","2015","1","1"
"2","163928","14","2017","2","1"
"2","121751","8","2014","2","1"
