,paper,conf,year,status
389,77795,3,2011,rejected
390,77823,3,2011,accepted
391,77825,3,2011,accepted
392,77826,3,2011,accepted
393,77982,3,2011,accepted
394,2,3,4,acepto
395,78075,3,2011,rejected
396,78083,3,2011,accepted
397,78085,3,2011,accepted
398,78118,3,2011,accepted
399,78188,3,2011,accepted
400,78192,3,2011,rejected
401,78196,3,2011,rejected
402,1,4,2,acepto
403,78215,3,2011,accepted
404,78222,3,2011,accepted
405,78224,3,2011,accepted
406,78286,3,2011,rejected
407,78287,3,2011,rejected
408,78288,3,2011,accepted
409,78291,3,2011,accepted
410,78295,3,2011,rejected
411,78297,3,2011,accepted
412,78310,3,2011,accepted
413,78311,3,2011,accepted
414,78323,3,2011,rejected
415,78336,3,2011,accepted
416,78338,3,2011,rejected
417,78339,3,2011,accepted
418,78343,3,2011,rejected
419,78349,3,2011,rejected
420,78351,3,2011,accepted
421,78363,3,2011,accepted
422,78367,3,2011,rejected
423,78368,3,2011,accepted
424,78371,3,2011,accepted
425,78372,3,2011,accepted
426,78379,3,2011,accepted
427,78384,3,2011,rejected
428,78386,3,2011,accepted
429,78387,3,2011,accepted
430,78388,3,2011,accepted
431,78390,3,2011,accepted
432,78391,3,2011,accepted
433,78392,3,2011,accepted
434,78394,3,2011,accepted
435,78399,3,2011,accepted
436,78400,3,2011,rejected
437,78404,3,2011,accepted
438,78413,3,2011,accepted
439,78415,3,2011,accepted
440,78416,3,2011,accepted
441,78418,3,2011,accepted
442,78421,3,2011,accepted
443,78423,3,2011,rejected
444,78427,3,2011,accepted
445,78428,3,2011,rejected
446,78430,3,2011,accepted
447,78433,3,2011,accepted
448,78435,3,2011,accepted
449,78438,3,2011,accepted
450,78442,3,2011,accepted
451,78449,3,2011,accepted
452,78456,3,2011,accepted
453,78461,3,2011,accepted
454,78466,3,2011,accepted
455,78467,3,2011,rejected
456,78468,3,2011,accepted
457,78482,3,2011,accepted
458,78483,3,2011,rejected
459,1,2,4,acepto
460,78492,3,2011,accepted
461,78494,3,2011,rejected
462,78495,3,2011,accepted
463,78502,3,2011,accepted
464,78512,3,2011,accepted
465,78513,3,2011,accepted
466,78557,3,2011,accepted
467,78564,3,2011,rejected
468,78578,3,2011,rejected
469,78972,3,2011,accepted
470,78989,3,2011,accepted
471,4,3,2,**
472,80682,3,2011,rejected
473,80683,3,2011,rejected
474,80686,3,2011,rejected
475,80786,3,2011,rejected
476,80810,3,2011,accepted
477,80813,3,2011,accepted
478,80830,3,2011,accepted
479,80834,3,2011,rejected
480,80839,3,2011,rejected
481,80842,3,2011,rejected
482,80843,3,2011,rejected
483,80848,3,2011,rejected
484,80854,3,2011,rejected
485,80865,3,2011,rejected
486,3,1,4,acepto
487,81151,4,2011,rejected
488,82552,4,2011,rejected
489,82833,4,2011,rejected
490,83282,4,2011,rejected
491,83910,4,2011,rejected
492,83982,4,2011,rejected
493,84007,4,2011,accepted
494,84037,4,2011,accepted
495,84054,4,2011,accepted
496,84098,4,2011,accepted
497,84100,4,2011,rejected
498,84134,4,2011,accepted
499,84143,4,2011,accepted
500,84150,4,2011,accepted
501,84176,4,2011,rejected
502,84177,4,2011,accepted
503,84178,4,2011,rejected
504,84179,4,2011,rejected
505,84187,4,2011,accepted
506,84191,4,2011,rejected
507,84193,4,2011,accepted
508,84196,4,2011,accepted
509,84212,4,2011,rejected
510,84215,4,2011,rejected
511,84216,4,2011,accepted
512,84218,4,2011,rejected
513,84220,4,2011,accepted
514,84221,4,2011,accepted
515,84222,4,2011,accepted
516,84224,4,2011,accepted
517,84227,4,2011,accepted
518,84230,4,2011,accepted
519,84231,4,2011,accepted
520,84238,4,2011,accepted
521,4,1,2,accepted
522,84242,4,2011,accepted
523,84251,4,2011,accepted
524,84254,4,2011,accepted
525,84256,4,2011,rejected
526,84261,4,2011,accepted
527,84266,4,2011,accepted
528,84270,4,2011,accepted
529,84273,4,2011,accepted
530,84289,4,2011,accepted
531,84292,4,2011,accepted
532,3,2,4,**
533,84322,4,2011,rejected
534,84323,4,2011,accepted
535,84325,4,2011,rejected
536,84342,4,2011,accepted
537,84346,4,2011,rejected
538,84351,4,2011,accepted
539,84356,4,2011,accepted
540,84357,4,2011,rejected
541,84373,4,2011,rejected
542,84377,4,2011,rejected
543,84379,4,2011,rejected
544,84396,4,2011,accepted
545,84401,4,2011,rejected
546,84403,4,2011,rejected
547,84408,4,2011,accepted
548,84416,4,2011,rejected
549,85474,4,2011,accepted
550,85589,4,2011,rejected
551,85590,4,2011,rejected
552,85591,4,2011,accepted
553,85602,4,2011,rejected
554,85610,4,2011,rejected
555,85615,4,2011,rejected
556,85633,4,2011,rejected
557,85636,4,2011,rejected
558,85646,4,2011,rejected
559,85649,4,2011,accepted
560,85651,4,2011,rejected
561,85673,4,2011,accepted
562,85678,4,2011,accepted
563,85681,4,2011,rejected
564,85692,4,2011,accepted
565,85694,4,2011,rejected
566,85699,4,2011,rejected
567,85700,4,2011,rejected
568,85720,4,2011,accepted
569,85725,4,2011,accepted
570,85731,4,2011,accepted
571,85732,4,2011,accepted
572,85742,4,2011,rejected
573,85743,4,2011,accepted
574,85810,4,2011,rejected
575,85956,4,2011,rejected
576,87854,4,2011,accepted
577,88535,4,2011,accepted
578,88558,4,2011,accepted
579,88247,5,2012,rejected
580,90921,5,2012,accepted
581,90939,5,2012,accepted
582,91189,5,2012,accepted
583,91432,5,2012,rejected
584,91994,5,2012,accepted
585,92020,5,2012,accepted
586,92082,5,2012,rejected
587,92106,5,2012,accepted
588,92321,5,2012,accepted
589,92365,5,2012,accepted
590,92400,5,2012,accepted
591,92405,5,2012,accepted
592,92437,5,2012,accepted
593,92463,5,2012,accepted
594,92507,5,2012,accepted
595,92540,5,2012,rejected
596,92552,5,2012,accepted
597,92553,5,2012,accepted
598,92609,5,2012,accepted
599,92613,5,2012,accepted
600,92618,5,2012,accepted
601,92621,5,2012,rejected
602,92623,5,2012,accepted
603,92660,5,2012,rejected
604,92663,5,2012,rejected
605,92697,5,2012,accepted
606,92704,5,2012,accepted
607,92730,5,2012,accepted
608,92734,5,2012,accepted
