,paper,subtopics
711,93973,16-25-52-54
712,93975,2-18-34
713,93978,23-28-31-47-49-55
714,93981,16-30-37-55-56
715,93982,25-53
716,93986,1-2
717,93989,2
718,93991,2-25-30
719,93992,2
720,93993,21-22-23
721,1,2
722,93995,1-2-31-36
723,93997,16-25-31
724,93998,1-2-27
725,93999,31-35
726,94000,26
727,94001,2
728,94003,16-31-55
729,94004,3-16-24
730,94006,2-6
731,94008,6
732,1,3
733,94010,2-4-35
734,94011,41-47
735,94014,12-41
736,94018,1-2-26-31-52
737,94019,2-35
738,94020,19-17-14-10-9-30-37
739,94021,51-53
740,94022,16-24-26
741,94023,22-32-52
742,94024,10-14
743,94025,3-23-31-53
744,94026,14-16
745,94029,22-23-52-54
746,94030,6-16-32
747,94031,14-16
748,94032,2
749,94033,25-26-41
750,94034,26-28-49-53
751,94035,12-39
752,94037,3-5-52
753,94040,7-23-25-30-31
754,94041,4-53
755,94042,2-23-30-32-37-41
756,94043,49-53
757,94044,42-21-48
758,94045,1-2-39
759,94046,16-17-19
760,94048,16-19-42-46
761,94049,7-22-27-31
762,94052,15-11-35
763,94053,22-25-30-39
764,94054,19
765,3,1
766,94056,42-45
767,94057,37-36-30-47-48-51
768,94059,2-25-35
769,94060,6-26-53
770,94061,37-41-53
771,94062,12-24-25
772,94063,24-39-55
773,94064,5-21-32-53
774,94065,3-39
775,94066,2-53
776,94067,37
777,94068,6-25-30-31
778,94069,16-25-27
779,94070,12-55
780,94071,26
781,94072,10-23-25-29-37-38-55
782,94073,23-32
783,94074,12-39
784,94075,41
785,94076,8-10-31-42
786,94077,10
787,94078,14-17-25-30
788,94079,26-41
789,94080,9
790,1,3
791,94082,1-22
792,94083,29
793,94085,36-49
794,94086,26-29
795,94087,12-25
796,94088,21-25-27-31
797,94091,3-24-26
798,94092,1-2-31
799,94093,9-22-29-53
800,94094,25-42
801,94095,13-26
802,94096,13
803,94097,30-46-55
804,94098,2
805,94099,1-22
806,94100,26
807,4,1
808,94103,8
809,94104,5-9
810,94105,21-41
811,94108,8-10-48
812,94109,10
813,94110,2-6-35
814,94112,10-14-17-19
815,94115,5-36
816,94116,22
817,94122,35-6-52
818,94138,21-33
819,94145,2-12
820,98201,3-47
821,98202,2-12-25
822,98204,3-22-31-41-52
823,98206,2-30-37-40
824,98223,14-23-41-47
825,98230,22-24-31
826,98252,3-23-30-31
827,98266,3-23-31
828,98309,2-31-39
829,98311,35
830,98315,14-17-19-23-32-42
831,98319,2-3-12-38-46
832,98323,25-22-30
833,98329,10-13
834,98334,7-22-25-41
835,98335,7-23-41-50
836,98338,25-19-17-14-30
837,98339,10-22-27-55
838,98340,47-35-31-29-2-52
839,98342,25-26-27-41
840,98343,12-25
841,3,2
842,98346,23-30-37
843,98347,16-26-30-32
844,98348,31-25-11-40
845,98353,25-30-55
846,98354,19-29-42-47
847,98356,10-22-32-37
848,98357,16-25-27-31
849,98360,12-18-30-31
850,98364,3-4-14-23
851,98370,3-31-35-52
852,98372,23-26-31-32
853,98378,12-31-47-51
854,98379,10-19-23-29
855,98382,30-23-22-37
856,98383,14-10-42-47
857,98384,7-17-26-47
858,98386,31-32
859,98389,3-23-29-50
860,98397,2-22-23
861,98423,10-14-19-27
862,3,4
863,99136,14-22-42
864,99146,14-16-25-47-53
865,99150,2-25-47
866,99178,2-16-26
867,99246,2-47-52
868,99252,2
869,99254,1-6-31-47
870,99257,8-31-37
871,99298,16-31-32-42
872,99307,2-3-32
873,99311,7-12-31-39
874,99324,6-41
875,99326,17-22-27-30-37-46-49
876,99330,13-22-31-37-53
877,99332,21-27-29-41
878,99334,10-25-35
879,4,2
880,99336,32-42
881,99350,2-6-23
882,99369,2-10-42
883,99374,14-35-37
884,99387,16-27-37-41
885,99388,21-51
886,99390,1-31-47
887,99703,16-26-31
