paper,conf,year,status
84224,4,2011,accepted
84227,4,2011,accepted
84230,4,2011,accepted
84231,4,2011,accepted
84238,4,2011,accepted
84242,4,2011,accepted
84251,4,2011,accepted
84254,4,2011,accepted
84256,4,2011,rejected
84261,4,2011,accepted
84266,4,2011,accepted
84270,4,2011,accepted
84273,4,2011,accepted
84289,4,2011,accepted
84292,4,2011,accepted
84322,4,2011,rejected
84323,4,2011,accepted
84325,4,2011,rejected
84342,4,2011,accepted
84346,4,2011,rejected
84351,4,2011,accepted
84356,4,2011,accepted
84357,4,2011,rejected
84373,4,2011,rejected
84377,4,2011,rejected
84379,4,2011,rejected
84396,4,2011,accepted
84401,4,2011,rejected
84403,4,2011,rejected
84408,4,2011,accepted
84416,4,2011,rejected
85474,4,2011,accepted
85589,4,2011,rejected
85590,4,2011,rejected
85591,4,2011,accepted
85602,4,2011,rejected
85610,4,2011,rejected
85615,4,2011,rejected
85633,4,2011,rejected
85636,4,2011,rejected
85646,4,2011,rejected
85649,4,2011,accepted
85651,4,2011,rejected
85673,4,2011,accepted
85678,4,2011,accepted
85681,4,2011,rejected
85692,4,2011,accepted
85694,4,2011,rejected
85699,4,2011,rejected
85700,4,2011,rejected
85720,4,2011,accepted
85725,4,2011,accepted
85731,4,2011,accepted
85732,4,2011,accepted
85742,4,2011,rejected
85743,4,2011,accepted
85810,4,2011,rejected
85956,4,2011,rejected
87854,4,2011,accepted
88535,4,2011,accepted
88558,4,2011,accepted
88247,5,2012,rejected
90921,5,2012,accepted
90939,5,2012,accepted
91189,5,2012,accepted
91432,5,2012,rejected
91994,5,2012,accepted
92020,5,2012,accepted
92082,5,2012,rejected
92106,5,2012,accepted
92321,5,2012,accepted
92365,5,2012,accepted
92400,5,2012,accepted
92405,5,2012,accepted
92437,5,2012,accepted
92463,5,2012,accepted
92507,5,2012,accepted
92540,5,2012,rejected
92552,5,2012,accepted
92553,5,2012,accepted
92609,5,2012,accepted
92613,5,2012,accepted
92618,5,2012,accepted
92621,5,2012,rejected
92623,5,2012,accepted
92660,5,2012,rejected
92663,5,2012,rejected
92697,5,2012,accepted
92704,5,2012,accepted
92730,5,2012,accepted
92734,5,2012,accepted
92738,5,2012,accepted
92751,5,2012,accepted
92755,5,2012,accepted
92787,5,2012,rejected
92790,5,2012,rejected
92793,5,2012,accepted
92802,5,2012,accepted
92808,5,2012,accepted
92816,5,2012,rejected
92829,5,2012,rejected
92860,5,2012,accepted
92902,5,2012,accepted
92907,5,2012,accepted
92933,5,2012,accepted
92935,5,2012,accepted
92940,5,2012,accepted
93330,5,2012,accepted
93331,5,2012,accepted
93332,5,2012,rejected
93334,5,2012,accepted
93335,5,2012,rejected
93336,5,2012,rejected
93337,5,2012,rejected
93343,5,2012,rejected
93347,5,2012,rejected
93357,5,2012,accepted
93365,5,2012,rejected
93366,5,2012,accepted
93367,5,2012,accepted
93368,5,2012,accepted
93369,5,2012,rejected
93370,5,2012,accepted
93371,5,2012,accepted
93372,5,2012,accepted
93373,5,2012,accepted
93374,5,2012,accepted
93375,5,2012,accepted
93377,5,2012,rejected
93379,5,2012,accepted
93380,5,2012,rejected
93381,5,2012,accepted
93382,5,2012,accepted
93384,5,2012,accepted
93386,5,2012,accepted
93388,5,2012,rejected
93394,5,2012,accepted
93403,5,2012,accepted
93404,5,2012,accepted
93419,5,2012,accepted
93425,5,2012,accepted
93504,5,2012,rejected
93510,5,2012,accepted
93522,5,2012,accepted
93573,5,2012,accepted
93597,5,2012,rejected
93608,5,2012,rejected
93609,5,2012,rejected
93620,5,2012,accepted
